國文,英文,數學,社會,自然
11,15,10,9,12
13,6,10,12,14
9,14,10,7,7
6,8,6,10,8
11,9,13,11,11
12,8,7,6,6
11,7,9,14,10
14,14,10,8,15
7,12,14,13,11
10,11,15,7,11
13,9,9,11,7
11,7,15,7,9
7,12,7,15,11
13,6,15,8,12
12,12,8,11,8
15,15,6,12,6
11,15,9,9,6
15,8,7,14,7
11,6,8,10,7
9,7,14,12,9
6,9,12,13,10
7,6,13,13,15
9,6,6,15,12
13,8,14,8,11
6,12,11,12,8
15,11,14,14,11
9,10,8,10,9
6,12,15,13,15
9,14,11,13,9
10,10,15,14,9
12,8,12,15,11
8,11,7,14,12
12,12,6,10,6
8,7,12,9,7
11,15,8,11,15
11,8,13,10,6
9,12,9,9,9
10,7,15,13,9
9,10,6,11,6
14,10,9,7,7
14,11,11,12,10
12,9,8,13,15
13,11,9,14,8
10,13,9,13,12
14,13,15,8,6
14,12,14,15,15
6,11,11,7,9
14,13,6,9,14
11,6,11,11,9
15,6,12,6,10
10,11,13,12,11
7,6,11,8,13
8,8,13,14,10
6,9,8,9,6
10,11,9,14,15
8,12,6,15,14
13,12,7,9,14
15,11,14,13,6
14,8,8,8,7
6,13,11,11,12
11,15,7,10,6
14,14,9,14,11
7,14,15,6,15
14,7,11,9,8
12,11,11,13,7
12,12,13,8,13
8,11,12,10,10
15,12,6,10,8
13,14,9,10,11
10,13,9,13,14
9,11,8,13,14
14,10,15,9,8
7,15,9,11,9
10,13,15,9,10
12,12,6,15,7
15,15,15,8,6
9,13,12,13,14
9,12,14,13,13
15,11,12,9,15
15,9,11,6,13
11,13,14,14,9
11,10,15,6,14
8,13,9,6,13
6,14,11,7,11
14,12,11,11,12
11,10,6,15,9
14,9,13,14,10
13,6,7,9,8
12,11,12,6,14
6,6,12,10,8
10,12,11,14,7
9,8,6,14,11
15,12,15,13,10
10,12,7,6,8
10,12,8,13,9
15,12,12,10,11
6,7,14,15,12
13,10,15,7,7
8,6,14,14,15
6,13,13,6,15
